PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,PWNETWPG
3,4,2,2,4,163800,9,2,1,2,10,310000,2900,105000,210000,0,1900,0,602000
3,4,3,2,4,340000,3,2,1,2,35,1400000,19000,155000,775000,0,3000,0,1735000
3,4,3,2,4,348450,3,1,1,2,47,550000,155000,950,0,0,0,0,3183450
5,3,3,2,4,103175,2,1,2,1,35,875000,77500,210000,0,0,950,0,3124050
3,4,1,1,2,97325,3,2,1,2,24,390000,400,0,260000,0,3000,0,177900
4,2,3,2,4,20500,1,3,1,1,12,0,3000,0,0,0,31000,26000,165250
6,4,3,2,1,61575,1,3,3,0,46,0,185000,72500,0,0,0,0,1297500
6,4,1,2,4,147200,2,3,1,2,48,0,32000,3900,0,0,0,0,1049900
4,4,2,2,4,222525,2,1,1,2,48,300000,300000,165000,0,0,0,0,2743505
4,3,3,2,3,150400,4,3,1,3,24,0,2000,40,0,0,4000,0,310640
5,5,1,2,3,43825,1,3,1,1,24,0,5500,0,0,0,0,0,366500
5,4,3,2,2,4300,1,1,3,9,12,525000,10000,0,0,0,0,0,1293000
3,4,3,2,3,52525,1,3,1,1,24,0,45000,20,0,0,0,0,140520
6,4,3,2,4,62375,2,1,3,0,35,2500000,31000,57500,0,0,0,0,3879500
3,4,1,2,4,172925,2,2,1,2,47,500000,950,44000,370000,7000,0,40000,170450
5,4,2,2,2,16075,1,3,3,0,24,0,50,0,0,0,0,0,5550
6,4,3,2,1,89175,2,1,3,2,46,625000,7250,77500,0,0,0,0,4709750
4,6,3,2,3,85975,2,2,9,2,47,500000,2500,0,310000,0,0,0,548500
4,3,2,1,4,41150,1,3,1,1,24,0,90,0,0,8250,18500,0,-5660
4,4,2,2,4,189250,4,2,1,3,24,550000,40000,575,82500,0,0,0,1203075
6,4,3,2,3,91825,2,1,1,2,35,1200000,1900,0,0,0,0,21000,2425900
4,4,2,2,2,10475,1,1,2,1,59,725000,10000,0,0,0,0,0,795500
6,4,3,2,4,169325,2,2,1,2,24,650000,0,0,380000,0,0,110000,635000
3,6,3,1,2,51950,3,3,1,1,59,0,1900,0,0,0,0,0,6500
6,5,3,2,2,36250,1,3,3,0,12,0,2100,0,0,0,0,0,182100
5,4,3,2,3,180100,2,1,1,2,59,7250,105000,47500,0,0,0,0,3389255
6,4,3,2,1,47575,1,2,3,0,59,850000,7750,0,85000,0,0,0,825750
5,3,3,2,4,117500,2,2,1,2,48,475000,1050,24000,47500,0,0,0,1323500
3,4,3,2,3,137000,3,2,1,2,48,180000,1050,0,100000,0,2000,0,108500
5,3,3,2,4,147950,2,2,1,2,24,390000,62500,110000,230000,0,0,0,1463000
5,3,2,2,4,156275,4,2,1,3,59,1250000,19000,275,440000,0,5000,600000,1481275
4,4,3,2,3,67125,3,3,1,2,24,0,2000,0,0,0,0,0,33750
5,4,3,2,2,65950,2,3,1,2,13,0,250,0,0,0,0,0,52350
7,4,3,2,3,46200,1,2,3,0,47,125000,2300,0,75000,0,0,33000,333300
2,4,3,2,4,83050,9,3,1,2,59,0,5250,10000,0,0,3900,0,1611350
4,4,2,2,4,123875,2,2,2,1,59,550000,9500,1000,310000,0,0,0,1684505
7,4,3,2,4,42575,1,1,3,0,59,800000,47500,130000,0,0,0,0,1238000
5,4,3,2,3,60975,2,1,3,0,24,200000,15000,41000,0,0,0,0,884750
3,4,1,2,4,88925,1,2,1,1,59,575000,5750,10500,310000,0,0,0,434100
5,4,3,2,4,355525,4,1,1,2,35,1750000,46000,0,0,0,0,0,5537500
6,3,3,2,2,94425,2,1,1,2,59,1000000,30000,135000,0,0,13500,0,1411250
2,3,3,2,4,66900,9,2,1,2,12,360000,5000,40000,230000,15000,3000,26000,864300
5,4,2,1,3,17500,1,3,2,0,59,0,675,0,0,0,300,0,37880
5,3,3,2,1,29875,1,3,1,1,47,0,37000,14500,0,0,26000,0,130925
4,3,3,2,4,210000,3,2,1,3,59,1250000,0,0,440000,0,10500,0,1264500
6,4,3,2,2,37000,2,1,6,0,35,925000,105000,70000,0,0,0,0,1234500
7,4,3,2,1,58000,2,3,3,1,24,0,0,0,0,0,0,0,214300
7,4,3,2,4,85875,1,1,3,0,35,300000,19500,210000,0,0,0,0,1284750
2,3,3,2,2,36750,1,3,2,1,47,0,825,1050,0,3000,2400,3500,7525
6,6,3,2,2,23000,1,3,6,0,59,0,4700,5250,0,0,0,0,10950
3,4,2,2,4,144050,3,2,2,1,35,2700000,10500,20000,1350000,0,0,0,1450500
4,3,3,2,1,124250,4,2,1,3,13,410000,0,2900,100000,14500,4000,0,340900
4,5,3,2,3,117375,4,1,1,9,12,290000,30000,3000,0,0,0,0,527000
2,3,3,2,3,42675,1,2,1,1,35,825000,2800,0,360000,0,2300,0,516725
6,4,3,2,4,43175,2,1,3,0,35,625000,135000,62500,0,0,0,0,5109500
6,4,2,1,4,38100,1,3,2,1,24,0,1000,12000,0,0,0,0,240000
5,4,1,2,3,101925,2,1,1,2,24,190000,10500,8000,0,0,0,0,295500
6,4,3,2,3,50700,2,1,3,0,35,1250000,1050,40,0,0,0,1750,1531340
6,4,3,2,3,506600,9,1,1,3,35,2400000,39000,575000,0,0,0,0,12624500
6,4,2,2,4,89000,1,1,2,0,35,1250000,15000,100000,0,0,3000,0,3775750
6,1,3,2,9,23000,1,3,9,0,46,0,2600,2500,0,0,2600,0,11500
5,4,3,2,4,86725,4,1,1,3,59,1450000,10000,15500,0,0,0,0,3135500
7,4,3,2,3,60950,2,1,3,0,24,150000,140000,145000,0,0,0,0,601000
6,3,3,2,3,37000,2,2,3,0,13,250000,1850,0,67500,0,0,0,301250
5,3,3,2,3,72425,1,2,1,1,48,330000,6750,2900,290000,0,7000,0,154150
3,4,2,2,4,89950,3,2,1,1,47,460000,31000,55000,250000,0,0,0,517000
5,4,2,2,2,135275,4,1,1,3,48,600000,10000,0,0,0,0,0,1361000
6,4,3,2,4,70950,2,1,3,1,24,550000,475,0,0,0,0,27000,762975
7,4,3,2,1,29800,4,2,3,0,35,500000,5000,3100,80000,0,0,0,507850
6,4,1,2,3,109775,2,1,1,1,13,400000,175000,0,0,0,0,0,1028500
5,4,3,2,4,42950,3,2,1,1,59,1650000,19500,0,525000,0,0,0,1699500
6,4,3,2,2,79000,2,3,3,0,46,0,7250,5750,0,0,0,0,1225500
5,4,2,2,4,89200,9,2,1,1,46,390000,10000,50000,200000,0,0,0,9251000
3,4,1,2,4,196450,3,2,1,2,46,450000,62500,85000,62500,0,0,0,1899005
2,2,3,2,1,109925,3,3,1,1,24,0,30,0,0,0,16000,0,174780
2,4,1,2,4,172150,2,3,1,2,59,0,57500,14000,0,0,0,0,253250
7,4,3,2,2,137375,4,1,3,0,59,2000000,110000,320000,0,0,2900,0,5182100
4,4,3,2,3,114200,2,2,1,2,11,1000000,9500,0,470000,0,0,0,1894500
6,4,3,2,3,33400,1,1,3,0,46,350000,7250,19000,0,0,0,0,646500
5,3,3,2,2,33050,4,3,3,1,35,0,40000,85000,0,0,0,0,213000
5,4,1,2,3,172800,4,2,1,2,59,725000,65000,20000,20000,22000,0,0,1570250
6,4,3,2,4,77450,2,1,3,1,24,350000,420000,195000,0,0,0,0,1531000
5,3,3,1,2,55175,2,2,1,1,24,175000,4600,60,90000,0,7000,0,141860
6,4,1,2,4,109700,2,2,1,2,24,390000,21000,62500,105000,0,0,0,2308500
5,4,3,2,4,143200,4,1,1,2,35,1450000,7000,21000,0,0,0,230000,4169500
7,4,3,2,4,78850,2,1,3,0,24,310000,160000,23000,0,0,0,0,1198000
5,3,2,2,2,20250,1,2,1,1,35,1800000,1100,32000,1550000,0,80000,31000,380855
3,2,3,2,3,150750,4,2,1,2,35,230000,21000,0,155000,0,3700,9000,255550
3,4,3,2,4,98425,2,2,1,2,48,340000,29000,3100,160000,0,3000,10500,309350
4,2,2,2,3,176100,3,2,3,3,35,1025000,1900,190000,500000,0,5000,7000,1182900
2,4,3,2,4,51125,1,3,2,1,35,0,23000,8000,0,41000,0,0,-6100
3,4,3,2,4,148050,3,2,1,2,35,1350000,3000,35000,525000,0,0,0,1854400
6,4,3,2,4,110675,1,1,3,0,35,1050000,60000,0,0,0,0,0,2614000
5,4,3,2,4,145200,2,1,1,2,10,675000,500000,0,0,0,0,0,2136850
7,4,3,2,1,38700,2,1,3,0,59,525000,210000,70000,0,0,0,0,829500
4,2,2,1,3,134425,4,1,1,3,35,1000000,1500,0,0,0,35000,31000,2506500
6,4,3,2,4,142350,9,1,3,0,13,575000,125000,70000,0,0,0,0,3282500
6,4,3,2,2,22900,1,3,3,0,48,0,36000,2000,0,0,0,0,117000
5,3,2,2,2,11000,1,1,3,9,13,240000,5,0,0,0,0,6000,340005
6,4,1,2,4,107600,9,1,3,0,12,1200000,22000,165000,0,0,0,0,4670250
5,6,3,2,2,19500,1,3,3,0,35,0,0,0,0,0,0,0,1000
3,4,2,2,9,139025,9,2,1,2,10,350000,5000,0,270000,0,0,0,1120500
2,2,2,2,2,193700,4,1,1,9,46,330000,300,0,0,0,5750,4900,347100
4,4,2,2,3,119550,4,2,1,1,24,550000,9000,6500,190000,0,0,0,568330
5,3,2,1,4,74800,4,1,2,2,35,1000000,15500,110000,0,25000,2100,0,1733405
3,6,3,2,4,287950,4,2,1,3,46,360000,140000,230000,52500,0,0,0,4205005
7,4,3,2,3,66875,1,1,3,0,48,450000,15500,145000,0,0,0,0,1320250
6,4,3,2,4,-2701225,1,1,3,0,48,145000,230000,0,0,0,0,0,575500
2,3,1,2,4,143275,2,2,1,2,35,800000,2800,67500,280000,0,0,0,888405
4,4,2,2,4,117300,3,2,1,3,35,170000,2000,1000,92500,0,500,0,346000
6,4,3,2,1,27475,1,1,3,0,35,200000,2800,0,0,0,0,0,233800
6,4,3,2,3,56725,2,1,3,0,59,975000,280000,120000,0,0,0,0,2160000
3,4,1,2,3,124850,3,2,1,2,24,420000,23000,700,150000,0,525,0,508175
3,4,2,2,4,19500,3,2,2,1,59,260000,115000,0,52500,0,0,0,527300
4,3,2,2,4,71275,3,2,1,1,13,250000,1000,10000,90000,0,3000,49000,801050
5,4,3,2,3,54775,1,2,1,1,46,260000,26000,0,82500,0,0,0,251400
3,2,2,1,2,32700,1,3,1,1,46,0,5,0,0,0,2500,0,11755
6,4,2,2,3,126625,4,1,2,3,48,230000,8000,0,0,15500,0,0,304000
3,4,1,2,4,131750,3,1,1,2,59,30000,475000,230000,0,0,0,675000,3500000
6,4,2,2,3,20325,2,1,3,0,59,875000,57500,77500,0,0,3000,0,1040600
3,4,2,2,3,120075,3,2,2,2,59,875000,2000,13000,260000,21000,1200,0,740555
6,4,2,2,3,112475,2,2,1,2,59,1500000,475,3100,90000,0,800,60000,2404870
2,3,3,2,2,48700,1,3,1,1,46,0,2700,8250,0,0,1200,0,29480
6,4,3,2,4,226850,9,1,1,1,24,1300000,200000,200000,0,0,10500,0,8492000
6,3,2,2,2,53000,2,1,3,0,47,210000,2100,0,0,0,14000,87500,730100
4,4,3,2,2,26400,1,1,2,1,47,80000,4600,0,0,0,0,0,206600
7,4,3,2,3,56100,1,1,3,0,35,500000,95000,57500,0,0,0,0,895250
3,4,1,2,4,153200,3,1,1,2,47,280000,40000,24000,0,0,0,0,2542000
5,3,3,2,1,30350,1,2,3,1,24,190000,0,33000,57500,0,0,0,432250
6,4,3,2,4,87550,2,1,3,0,46,350000,28000,220000,0,0,0,0,1951700
6,4,3,2,2,56575,2,1,3,0,12,430000,45000,47500,0,0,0,0,917000
2,3,2,2,4,105825,3,1,1,2,59,475000,60000,1550,0,0,6750,0,513555
5,3,2,1,3,19125,2,1,1,2,12,39000,275,0,0,0,775,0,359500
6,5,3,2,2,23000,1,3,3,0,24,0,10,0,0,0,0,0,1010
7,4,3,2,4,42600,2,1,3,0,35,1000000,10000,135000,0,0,0,0,1375500
5,5,3,2,1,52550,1,3,3,1,24,0,26000,77500,0,0,0,0,1071750
4,3,2,2,3,62025,3,2,1,1,47,280000,16000,0,190000,0,2500,0,162750
5,4,3,2,2,54350,1,2,1,1,48,260000,19000,0,77500,0,0,0,2105500
3,3,3,2,4,173950,3,2,1,2,24,625000,3000,13000,410000,0,21000,15000,534000
6,4,1,2,3,41475,1,1,3,0,47,140000,145000,140000,0,0,0,0,937500
4,4,2,2,4,113775,3,2,2,3,48,310000,0,8000,210000,20000,0,0,85750
6,4,2,2,4,70325,2,1,3,0,35,1800000,47500,110000,0,0,0,0,2668650
6,4,3,2,2,37150,4,2,3,0,59,1000000,10000,0,80000,0,0,0,1038750
3,3,1,2,2,35175,1,3,1,1,59,0,425,0,0,0,14000,0,25925
5,3,2,2,3,155275,2,2,1,2,59,850000,5750,0,250000,0,850,410000,1456300
5,3,1,2,4,171125,2,1,1,1,10,480000,0,575,0,0,0,0,1418430
6,4,3,2,2,87900,2,1,2,1,59,250000,4000,6000,0,0,0,0,331750
3,1,1,1,4,89475,3,1,1,9,46,675000,5000,4750,0,0,2100,0,1738155
6,4,3,2,2,119950,9,2,1,9,46,500000,40000,6000,14000,0,0,0,860500
6,4,3,2,4,139250,4,1,3,0,59,1500000,75000,105000,0,0,0,0,3925000
6,4,3,2,2,75775,1,1,1,1,35,330000,9000,0,0,0,0,0,701500
4,4,3,2,2,153800,3,2,1,3,24,350000,40000,0,135000,0,0,0,697755
5,2,2,1,4,139775,4,3,1,9,47,0,2000,0,0,23000,11000,0,135800
5,3,3,2,2,70775,1,3,1,1,24,0,0,50000,0,0,5250,0,3194750
3,4,2,2,4,59875,9,2,1,1,47,875000,1050,67500,290000,0,0,0,871550
7,4,3,2,4,36675,1,1,3,0,48,440000,92500,87500,0,0,0,0,675000
3,4,2,2,4,19875,1,1,2,1,59,2000000,17500,49000,0,0,0,0,2087250
7,4,3,2,2,140350,9,1,3,2,12,290000,72500,40000,0,0,2100,0,1239400
4,4,2,2,4,86175,3,3,1,2,59,0,525,275,0,22000,0,12000,15300
6,4,3,2,4,113600,2,1,1,1,24,460000,1000000,200000,0,0,0,0,2656000
6,4,3,2,3,31700,1,1,3,0,59,400000,9750,12500,0,0,0,0,598250
6,4,2,2,1,73250,2,1,1,1,46,290000,11500,6250,0,0,0,0,406750
6,4,3,2,4,91200,2,3,3,1,35,0,12000,20000,0,0,0,0,777000
2,4,2,2,2,109800,3,2,1,2,59,1450000,10000,0,440000,0,11000,80000,1015000
2,4,1,2,4,152075,2,2,1,2,24,475000,16500,92500,260000,25000,0,27000,388500
6,4,1,2,4,132475,9,1,2,9,11,675000,14500,120000,0,0,0,0,3988550
5,4,3,2,2,323200,4,1,1,2,35,775000,190000,39000,0,0,0,0,2129000
2,4,3,2,4,143500,4,2,1,2,59,1150000,1700000,185000,155000,0,0,0,3205000
6,2,3,2,3,146525,4,1,3,1,35,1450000,40000,95000,0,0,10500,125000,2099900
3,2,3,2,2,123575,3,2,1,2,46,500000,5000,0,300000,0,7250,29000,389950
7,4,3,2,2,57775,2,1,3,0,59,1200000,29000,195000,0,0,0,0,1464250
6,4,2,2,3,83200,2,2,3,0,35,900000,23000,70000,21000,0,0,125000,1174000
5,3,2,2,4,152900,2,2,1,2,59,575000,5500,80,250000,0,77500,43000,1177580
4,6,2,2,9,16250,1,3,1,1,12,0,0,0,0,0,0,0,30000
3,4,3,2,3,84275,9,2,1,1,12,825000,4750,150,500000,0,0,1500,384150
2,4,2,2,9,10500,1,3,9,9,47,0,155000,50000,0,0,0,0,245500
3,2,3,2,4,62875,2,3,1,2,35,0,1300,525,0,30000,35000,0,-62120
4,3,3,2,4,172775,4,3,1,3,59,0,2900,1200,0,0,10000,0,259700
4,4,3,2,3,83100,2,2,1,2,12,490000,0,0,260000,0,0,0,260500
6,4,3,2,1,136550,2,1,3,0,46,600000,9250,125000,0,0,0,0,3377250
7,4,3,2,1,30825,1,1,3,0,46,300000,48000,115000,0,0,0,0,610500
3,3,3,2,3,148350,4,3,1,9,12,0,22000,0,0,0,0,0,333000
2,4,3,2,4,27350,1,3,1,1,46,0,40,0,0,0,0,0,10790
5,4,2,2,4,161025,3,3,1,3,59,0,60000,145000,0,0,0,0,616500
4,3,3,2,9,92075,9,3,1,2,46,0,14000,10500,0,0,0,0,873500
1,4,1,2,2,57575,9,3,2,2,48,0,18000,700,0,0,700,0,96900
5,3,2,1,4,141175,4,1,3,1,35,600000,105000,0,0,0,20000,0,862000
6,4,2,2,3,86700,4,1,3,9,47,270000,1400,0,0,0,2300,0,580100
6,4,3,2,2,60025,2,1,3,0,24,200000,10500,44000,0,0,0,0,604000
6,4,3,2,2,94075,2,1,3,9,46,330000,2500,1450,0,0,0,24000,3703950
5,4,1,2,4,169150,2,1,1,2,59,950000,90000,210000,0,0,0,0,3796000
7,4,3,2,4,33650,1,1,3,0,59,625000,19000,2400,0,0,0,0,660650
5,4,3,1,4,252675,4,1,1,3,24,700000,115000,240000,0,0,1050,0,3868950
3,3,2,2,4,132725,3,2,1,2,24,450000,3100,0,310000,0,17500,30000,345600
5,4,1,2,4,-1000,1,1,1,1,35,825000,0,29000,0,0,0,0,1474000
6,4,3,2,3,50300,1,1,3,1,11,330000,1900,52500,0,0,0,0,998775
6,4,3,2,3,36000,2,1,3,0,59,1550000,70000,185000,0,0,0,0,1819675
6,4,3,2,4,136175,2,2,3,2,10,450000,70000,0,380000,0,0,0,3189000
2,4,1,2,4,61925,2,2,1,1,24,470000,12000,17000,290000,0,0,0,372000
3,4,3,2,4,51300,3,2,1,2,35,950000,5000,0,750000,0,0,0,223650
6,4,3,2,4,71850,1,1,3,0,12,410000,210000,0,0,0,0,0,1354000
4,3,3,2,4,195100,2,2,1,2,59,1500000,19000,100000,390000,0,0,57500,1744500
2,4,3,2,4,58525,1,3,1,1,24,0,15000,14000,0,0,0,0,133500
5,4,2,2,3,50800,1,2,1,1,59,475000,50,1050,320000,0,0,0,886600
5,4,1,2,4,356525,2,1,1,2,46,600000,100000,310000,0,0,0,0,4528000
6,3,2,2,3,61875,2,2,1,1,24,185000,1800,50000,45000,0,0,0,537305
3,4,2,2,3,250950,3,2,1,2,24,675000,31000,5000,370000,0,0,70000,1313500
6,4,1,2,4,109900,9,2,1,2,48,470000,15000,200000,340000,0,0,0,8907500
7,4,3,2,1,26000,1,1,3,0,35,675000,5000,0,0,0,0,0,776500
4,3,2,2,3,82200,1,2,1,1,24,370000,1200,0,67500,0,2400,0,455300
6,4,3,2,2,44475,2,1,3,0,59,825000,80000,120000,0,0,0,0,1392500
5,4,2,2,9,43250,4,2,3,1,59,4500000,250000,120000,550000,0,0,0,5443000
6,4,3,2,2,74350,2,1,3,1,59,525000,100000,150000,0,0,0,0,1492500
4,2,2,2,2,138025,3,2,1,2,48,400000,200,0,270000,0,10000,70000,1888200
5,4,3,2,4,132750,3,1,1,2,35,1150000,57500,200000,0,0,1600,0,3860900
6,4,3,2,3,71000,2,1,2,1,47,390000,75000,0,0,0,0,0,965500
2,4,1,2,4,157125,3,2,1,2,35,750000,39000,72500,180000,0,0,0,947750
3,4,3,2,4,306650,3,3,1,2,35,0,10500,155000,0,0,0,0,1251000
5,4,3,2,2,55500,1,3,1,1,12,0,95000,23000,0,0,0,0,377900
5,6,3,1,1,13450,1,3,3,0,35,0,80,0,0,0,0,0,10605
4,4,3,2,3,207800,2,2,1,2,35,1500000,44000,0,90000,0,0,0,5699000
6,4,2,2,4,61575,4,1,3,2,35,675000,1050,0,0,0,525,0,1565425
6,3,2,2,2,25000,1,3,3,0,35,0,400,0,0,0,8250,0,-6850
7,4,3,2,9,40225,1,1,3,0,46,220000,10000,0,0,0,0,0,273000
5,4,3,2,3,138400,2,2,1,2,13,210000,14500,39000,36000,0,0,0,1205000
3,3,2,1,3,46350,1,3,1,1,59,0,4100,0,0,0,2900,20000,133550
3,4,3,2,4,84325,2,3,1,2,35,0,22000,24000,0,17000,0,0,208600
4,4,3,2,3,55425,1,2,1,1,24,390000,2000,0,175000,0,0,0,486000
5,4,3,2,3,179250,4,1,3,3,35,440000,300000,105000,0,0,0,0,2966500
5,4,3,2,4,77725,1,3,1,1,59,0,31000,0,0,0,0,0,653000
6,4,3,2,3,40125,2,3,3,0,48,0,11500,0,0,0,0,0,56000
5,4,3,2,4,63000,3,2,1,1,24,1300000,550,62500,575000,0,0,0,2258050
6,4,1,2,2,31500,1,3,3,0,13,0,97500,52500,0,0,0,0,335650
6,2,3,2,1,26500,1,3,3,0,11,0,5000,0,0,0,775,12000,114225
3,4,3,2,2,140400,9,2,1,2,47,600000,10500,24000,480000,0,0,0,543500
6,4,2,2,4,106125,2,1,3,1,35,200000,9500,5,0,0,0,0,1094525
5,4,3,1,4,100025,1,3,1,1,24,0,100000,60000,0,0,0,0,864450
1,4,3,2,9,76000,4,3,2,3,59,0,20000,0,0,0,0,0,65250
4,4,3,2,3,244700,9,2,1,3,35,1150000,10000,80,350000,5250,0,57500,5852330
3,4,3,2,3,68025,3,2,1,1,24,220000,2800,3700,135000,0,0,275,249225
3,4,3,2,3,105600,3,2,1,1,24,675000,15500,25000,340000,0,0,0,822500
6,4,3,2,4,145900,2,1,3,0,35,1200000,2900000,190000,0,0,7000,0,6109000
5,4,3,2,4,83575,2,3,1,2,12,0,30000,0,0,0,0,0,153000
3,6,3,2,3,67025,3,3,1,2,12,0,2100,0,0,1150,0,0,34450
7,4,3,2,4,81750,9,1,3,0,47,390000,36000,360000,0,0,0,0,2276750
7,4,3,2,3,74000,9,1,3,9,11,400000,430000,165000,0,0,0,0,1800000
5,4,3,2,2,120675,2,1,1,2,24,250000,25000,0,0,0,0,0,1079000
6,4,3,2,4,91275,2,1,3,0,35,775000,47000,14000,0,0,0,0,1646500
4,4,2,1,3,112300,4,2,1,2,35,550000,3000,0,280000,0,0,3700,1238800
3,6,2,2,2,39625,1,3,1,1,35,0,14000,0,0,0,0,0,122900
5,4,3,2,2,89100,2,3,3,0,24,0,165000,72500,0,0,0,0,934500
7,4,2,2,2,43800,2,1,3,0,48,190000,1000,0,0,0,0,0,202000
6,4,1,2,4,246300,2,1,1,1,35,1500000,72500,410000,0,0,0,0,6607500
5,4,3,2,2,125225,2,2,1,2,13,310000,4750,34000,180000,0,0,0,1568750
4,2,2,2,3,58775,3,2,1,2,24,120000,2000,0,57500,0,1500,0,206000
6,4,2,2,2,29625,9,1,3,0,24,1700000,2100,2900,0,0,0,0,8572000
3,4,3,2,1,73400,3,2,2,0,35,1200000,5,0,430000,0,0,0,775005
2,3,2,2,3,31350,1,3,1,1,10,0,3000,0,0,0,725,0,19125
4,3,2,2,9,94400,9,2,1,3,10,185000,2100,44000,125000,0,200,27000,456400
6,4,3,2,4,197375,2,1,2,2,24,500000,320000,145000,0,0,0,0,4267000
5,4,3,2,4,103275,1,3,1,1,35,0,1500,0,0,0,0,46000,692750
6,3,3,2,4,34975,1,3,2,1,59,0,50,5,0,9750,600,0,68955
6,4,3,2,1,28050,2,1,6,0,59,340000,49000,21000,0,0,0,0,724750
6,4,2,2,4,89175,2,1,3,1,24,480000,1900,130000,0,0,0,0,2040400
5,2,3,2,2,53150,2,3,1,1,35,0,1450,0,0,0,2000,0,30350
6,3,3,2,2,37500,4,2,3,2,35,200000,1900,200,52500,0,2000,5000,169600
4,3,3,2,4,780425,9,2,1,3,35,2500000,9500,150000,1050000,0,25000,1400000,2755505
4,4,3,2,4,159800,4,2,1,3,24,450000,4000,0,155000,0,400,2900,1017200
4,3,2,2,3,188000,3,2,1,3,35,750000,9500,0,380000,12000,0,0,1377050
6,4,3,2,4,125450,1,1,2,1,59,950000,115000,80000,0,0,0,0,3115500
3,4,3,2,4,111150,1,1,1,1,24,400000,15000,23000,0,0,0,0,863900
3,3,3,2,2,44500,3,3,2,1,12,0,900,0,0,0,225,0,-8025
5,4,3,2,3,141875,2,1,1,2,47,875000,210000,0,0,9500,15500,0,4549000
1,4,2,2,2,57400,2,3,2,2,35,0,22000,8000,0,0,0,0,37950
5,4,3,2,3,24375,1,1,3,0,24,390000,40000,0,0,0,0,0,744000
3,3,3,2,4,179575,3,2,1,1,48,675000,4100,0,440000,90000,9500,75000,1127100
6,4,3,2,2,39050,2,1,3,1,24,240000,3000,77500,0,0,0,0,385505
6,6,2,2,1,49000,4,3,6,1,35,0,0,0,0,5500,0,0,13500
6,6,2,2,3,23000,1,3,3,0,46,0,375,0,0,0,0,0,1425
6,3,3,2,2,1800,1,1,1,0,35,475000,200000,0,0,0,2100,12000,706900
5,3,2,2,3,65300,1,2,1,1,59,925000,87500,0,220000,0,4750,0,847500
6,4,3,2,1,43300,2,1,3,1,24,80000,19000,0,0,0,0,0,393000
7,6,3,2,1,26000,1,1,6,0,24,92500,9500,0,0,0,0,0,157600
6,4,3,2,4,129425,9,2,3,0,13,1200000,3000,31000,450000,0,26000,30000,2817600
3,4,3,2,4,208775,3,2,2,3,48,800000,20000,9500,440000,0,0,0,749000
3,3,3,2,4,72975,1,3,1,1,35,0,15000,2900,0,0,3000,0,24850
7,6,3,2,3,142325,9,1,3,1,59,2000000,0,0,0,0,0,0,2075000
3,4,3,2,4,57900,3,3,1,1,35,0,3400,13000,0,27000,0,0,42400
4,4,3,2,2,253575,3,1,1,3,35,650000,140000,6000,0,0,0,0,3709000
7,4,3,2,4,91725,2,1,3,0,24,825000,52500,40000,0,0,0,0,1632500
6,4,1,2,4,68950,2,1,3,0,59,470000,80000,170000,0,0,0,0,1195500
5,4,1,2,3,150225,3,2,1,3,35,625000,0,150000,125000,0,0,0,2034500
5,4,3,2,4,78150,1,2,1,1,48,360000,2600,14000,260000,0,675,0,2144925
6,4,3,2,2,101375,2,1,3,1,35,650000,250000,135000,0,0,0,0,2588500
6,4,3,2,4,41425,1,1,3,0,24,775000,150000,95000,0,0,0,0,1380250
5,4,3,2,3,117250,2,1,1,2,24,145000,52500,180000,0,0,0,0,1923000
6,3,3,2,9,130500,2,1,3,0,11,625000,240000,0,0,0,0,0,2466000
4,6,3,2,2,4450,1,3,3,1,59,0,175,0,0,0,0,0,425
5,4,3,2,2,245025,4,2,1,3,59,2700000,3100,0,340000,0,0,100000,3440600
4,3,3,2,4,250450,3,2,1,2,24,1000000,15000,25000,550000,0,10000,100000,1389000
6,4,3,2,3,102375,2,1,2,2,48,550000,310000,340000,0,0,0,0,1977250
5,4,3,2,4,55925,1,1,3,0,59,1550000,105000,50000,0,0,0,0,2465000
4,4,3,2,1,308500,2,1,1,2,24,340000,470000,42000,0,0,0,0,2757000
6,4,3,2,4,120125,2,1,3,1,24,900000,26000,120000,0,0,0,0,2719500
5,3,3,1,2,290550,4,2,1,2,35,1750000,2000,60000,1150000,0,40000,210000,5078000
6,4,3,2,4,170750,2,1,2,2,46,480000,14500,110000,0,0,0,0,1810500
4,4,1,2,4,176050,3,2,1,3,59,1200000,14500,25000,370000,0,0,0,1466200
6,4,3,2,3,124050,2,1,3,0,47,400000,15000,205000,0,0,0,0,2408500
3,4,2,2,4,188500,3,2,1,2,35,550000,21000,0,250000,0,20000,49000,533255
6,3,2,2,2,159650,9,2,2,2,35,575000,52500,0,220000,7250,0,0,5294250
6,4,2,2,3,92325,2,2,1,9,24,1050000,9500,48000,67500,0,0,0,3160000
2,4,3,2,4,50700,1,2,1,1,48,75000,19000,8250,87500,0,250,0,103500
7,4,3,2,1,30350,1,3,3,1,24,0,5000,0,0,0,0,0,116000
2,4,1,2,4,81125,9,3,1,2,46,0,47000,0,0,0,0,0,656575
6,4,3,2,2,37775,1,3,3,1,12,0,15500,0,0,0,0,0,346500
5,4,1,2,4,226750,4,2,1,3,47,400000,3900,15000,220000,0,0,0,2073155
